ID	Kategorie	Plattform	Land	Angebotsform	Zugang	DigitalerKanal	PhysischerZugang	Datenfelder	SuchUndAuswahlfunktionen	Beschaffungsschritte	Uebergabe
BB-07	Depots / Shops	Concular Shop	Deutschland	Angebotsübersicht, Detailseite	öffentlich	Website	Standort	Bilder, Preis, Bestand, Maße, Zustand, Farbe, Alter, Marke, Verfügbarkeit, Materialstandort, Gewährleistung	Kategorien, Suche	Anfrage, Warenkorb	Abholung, Lieferung
BB-10	Depots / Shops	Genbyg	Dänemark	Angebotsübersicht, Detailseite	öffentlich	Website	Standort	Bilder, Artikelnummer, Preis, Bestand, Maße	Kategorien, Suche, Suchbenachrichtigung	stationärer Kauf	Abholung, Lieferung
BB-25	Depots / Shops	Archipel Sion Ressourcerie	Schweiz	Angebotsübersicht, Detailseite	öffentlich	Website	Standort	Beschreibung, Bilder, Preis, Maße, Zustand, Marke	—	stationärer Kauf	Abholung
BB-28	Depots / Shops	Bauteilladen Winterthur	Schweiz	Angebotsübersicht	öffentlich	Website	—	Bilder, Preis	Kategorien	Kontakt, Warenkorb, Bestellung	Abholung, Lieferung
BB-31	Depots / Shops	GGZ@WORK Laden 2 Bauteile Zug	Schweiz	Katalog	öffentlich	—	Standort	—	—	Kontakt, stationärer Kauf	Abholung
BB-33	Depots / Shops	La Ressourcerie Fribourg	Schweiz	Katalog	öffentlich	Website	Standort	n. p.	n. p.	Kontakt, stationärer Kauf	Abholung
BB-34	Depots / Shops	Matériuum	Schweiz	Angebotsübersicht	öffentlich	Website	—	Preis, Menge, Bestand, Maße, Materialstandort	Kategorien, Suche, Filter	Kontakt, Reservierung	Abholung
BB-35	Depots / Shops	Matériuum Genève Ressourcerie	Schweiz	Angebotsübersicht, Detailseite	öffentlich	gemeinsamer Shop	Standort	Preis, Menge, Maße, Materialstandort	Kategorien, Suche, Filter	Reservierung	Abholung, Lieferung
BB-36	Depots / Shops	Ressourcerie Lausanne / Matériuum / R-UUL	Schweiz	Angebotsübersicht, Detailseite	öffentlich	gemeinsamer Shop	Standort	Beschreibung, Preis, Menge, Maße, Materialstandort	Kategorien, Suche, Filter	Kontakt, Reservierung	Abholung
BB-37	Depots / Shops	wiederverwendung.ch / ReUse Recycling Center Riedtwil	Schweiz	Angebotsübersicht, Detailseite, Katalog	öffentlich	Website	—	Beschreibung, Bilder, Artikelnummer, Preis, Menge, Bestand, Maße, Material, Marke	Kategorien, Filter, Merkliste	Anfrage, Warenkorb, Zahlung	Abholung
BB-42	Depots / Shops	Wick ReUse / ROTO Baumarkt	Schweiz	Katalog	öffentlich	Website, externer Marktplatz	Standort	—	—	Kontakt, stationärer Kauf	Abholung
BB-51	Depots / Shops	re:Laden / HarvestMAP Vienna	Österreich	Angebotsübersicht, Detailseite	öffentlich	Website	—	Beschreibung, Bilder, Preis, Zustand, Verfügbarkeit, Herkunft	—	Reservierung, Warenkorb, Bestellung, Zahlung	Lieferung
BB-03	Vermittlung / Kontakt	Materialenbank Leuven / Atelier Circuler	Belgien	Angebotsübersicht, Detailseite, Katalog	öffentlich	Website	Standort	Beschreibung, Bilder, Preis, Rabatt, Menge, Bestand, Maße, Material, Zustand, Herkunft	Kategorien, Suche, Filter	Warenkorb	—
BB-06	Vermittlung / Kontakt	bauteilnetz Deutschland	Deutschland	Katalog	öffentlich	Website	—	n. p.	Kategorien	Kontakt	n. p.
BB-15	Vermittlung / Kontakt	Cycle Up	Frankreich	—	öffentlich	Website	—	—	—	Kontakt	—
BB-29	Vermittlung / Kontakt	Bauteilvermittlung Zürichsee-Oberland	Schweiz	Angebotsübersicht, Detailseite	öffentlich	Website	—	Beschreibung, Bilder, Preis, Verfügbarkeit, Materialstandort	Kategorien	Anfrage	direkte Übergabe
BB-30	Vermittlung / Kontakt	Bauteilverwertung Köppel & Klein	Schweiz	Angebotsübersicht, Detailseite	öffentlich	externer Marktplatz	—	Beschreibung, Bilder, Preis, Maße, Material, Zustand, Marke, Verfügbarkeit, Materialstandort	Kategorien, Suche, Filter, Merkliste, Suchbenachrichtigung	Kontakt, Kauf	Abholung, Lieferung
BB-40	Vermittlung / Kontakt	Stiftung Chance BauTeile Zürich / Glattbrugg	Schweiz	Angebotsübersicht	öffentlich	externer Marktplatz	Standort	Beschreibung, Artikelnummer, Preis, Menge, Maße, Verfügbarkeit, Materialstandort	Kategorien, Suche, Filter, Merkliste, Suchbenachrichtigung	Kontakt	Abholung
BB-18	Ressourcenkataloge	RAEDIFICARE	Frankreich	Angebotsübersicht, Detailseite, Katalog, Karte/GIS	Registrierung	Website	—	Bilder, Menge, Maße, Zustand, Verfügbarkeit, Materialstandort	Kategorien, Suche, Filter	Bestellung	n. p.
BB-19	Ressourcenkataloge	REFAIR Bordeaux	Frankreich	Angebotsübersicht, Detailseite, Katalog, Karte/GIS	öffentlich	Website	Standort	Beschreibung, Bilder, Menge, Material, Zustand, Verfügbarkeit, Materialstandort, Dokumente, Anbieterangabe	Kategorien, Suche, Filter, Auswahlliste	Anfrage	—
BB-32	Ressourcenkataloge	Gruner ReUse	Schweiz	Angebotsübersicht, Detailseite, Katalog, Karte/GIS	öffentlich	Website	—	Bilder, Artikelnummer, Preis, Menge, Bestand, Material, Zustand, Marke, Verfügbarkeit, Materialstandort, Dokumente	Kategorien, Filter	Reservierung	—
BB-50	Ressourcenkataloge	BauKarussell	Österreich	Detailseite, Katalog	öffentlich	Website	—	Bilder, Artikelnummer, Preis, Menge, Maße, Material, Zustand, Marke, Verfügbarkeit, Materialstandort, Herkunft, Dokumente	Kategorien, Filter	Anfrage, Reservierung, Warenkorb, Bestellung	Abholung
